name,run,scenario,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
S4,2,"PBPP3: beta(50, 20)",a0,0.2566,0.2548,0.0328,0.0331,0.205,0.3128,1.003,4355,1461
S4,2,"PBPP3: beta(50, 20)",sigma,3.3397,3.3197,0.2227,0.2168,3.0078,3.7228,1.003,2802,1374
S4,2,"PBPP3: beta(50, 20)",beta00,99.8766,99.8588,0.6872,0.6933,98.7982,101.0251,1.0025,3087,1649
S4,2,"PBPP3: beta(50, 20)",sigma_b0,0.6735,0.5441,0.5454,0.4759,0.0423,1.7367,1.0013,1213,794
S4,2,"PBPP3: beta(50, 20)",beta0,100.9243,100.939,0.7413,0.6827,99.6756,102.1531,1.0056,911,1283
S4,2,"PBPP3: beta(50, 20)",sigma_b,2.2701,2.1829,0.6758,0.6274,1.3603,3.5003,1.0022,962,1223
S4,3,"PBPP3: beta(1, 1)",a0,0.0052,0.0036,0.0055,0.0037,3e-04,0.0157,0.9998,2365,1460
S4,3,"PBPP3: beta(1, 1)",sigma,4.2826,4.2634,0.3302,0.3204,3.7822,4.8494,1.0027,2275,1297
S4,3,"PBPP3: beta(1, 1)",beta00,100.0384,100.0735,3.0904,2.3803,95.4174,104.5436,1.0043,2582,929
S4,3,"PBPP3: beta(1, 1)",sigma_b0,2.1872,1.6614,2.0087,1.5519,0.1568,6.083,0.9995,1985,834
S4,3,"PBPP3: beta(1, 1)",beta0,100.2921,100.288,0.6375,0.5867,99.2644,101.315,1.0009,1511,1281
S4,3,"PBPP3: beta(1, 1)",sigma_b,1.5806,1.5159,0.7682,0.6482,0.4189,2.8701,1.0038,673,701
S4,3,"PBPP3: beta(5, 5)",a0,0.0276,0.0262,0.012,0.0114,0.0115,0.0506,1.0018,2723,1198
S4,3,"PBPP3: beta(5, 5)",sigma,4.2553,4.2416,0.3289,0.3237,3.7271,4.83,0.9996,2132,1517
S4,3,"PBPP3: beta(5, 5)",beta00,100.3131,100.3,1.9567,1.8231,97.178,103.4099,1.0042,2961,1437
S4,3,"PBPP3: beta(5, 5)",sigma_b0,1.5738,1.2313,1.3166,1.0971,0.141,4.1082,1.0006,1627,1088
S4,3,"PBPP3: beta(5, 5)",beta0,100.2549,100.26,0.6739,0.6284,99.1385,101.3071,0.9997,1550,1250
S4,3,"PBPP3: beta(5, 5)",sigma_b,1.6153,1.5693,0.731,0.6627,0.4606,2.9178,1.0059,654,594
S4,3,"PBPP3: beta(10, 10)",a0,0.0544,0.0526,0.0173,0.0171,0.0301,0.0848,1.0011,3144,1604
S4,3,"PBPP3: beta(10, 10)",sigma,4.1853,4.1661,0.3174,0.3024,3.6872,4.731,1.0011,2104,1164
S4,3,"PBPP3: beta(10, 10)",beta00,100.3379,100.365,1.534,1.4489,97.7014,102.8454,0.9995,2696,1508
S4,3,"PBPP3: beta(10, 10)",sigma_b0,1.2849,1.0343,1.0685,0.9252,0.0907,3.3211,1.0011,1624,1073
S4,3,"PBPP3: beta(10, 10)",beta0,100.301,100.309,0.6751,0.6227,99.1711,101.371,1.0026,1500,1288
S4,3,"PBPP3: beta(10, 10)",sigma_b,1.6471,1.5895,0.7276,0.668,0.4884,2.9501,1.0004,709,631
S4,3,"PBPP3: beta(50, 20)",a0,0.2395,0.238,0.0313,0.0322,0.1913,0.2929,1,3342,1410
S4,3,"PBPP3: beta(50, 20)",sigma,3.8609,3.8467,0.2707,0.2652,3.4468,4.3256,1.0008,2751,1270
