name,run,scenario,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
S1,1,"PBPP3: beta(1, 1)",a0,0.7499,0.7606,0.1253,0.1296,0.5346,0.9425,0.9997,1157,669
S1,1,"PBPP3: beta(1, 1)",sigma,1.1442,1.1415,0.068,0.0677,1.0385,1.2614,1.0023,1322,1242
S1,1,"PBPP3: beta(1, 1)",beta00,100.7714,100.7755,0.4793,0.4381,99.9867,101.542,1.0044,514,828
S1,1,"PBPP3: beta(1, 1)",sigma_b0,1.5064,1.425,0.4388,0.3863,0.95,2.3185,1.0026,520,913
S1,1,"PBPP3: beta(1, 1)",beta0,100.4661,100.4775,0.639,0.6168,99.4018,101.482,1.0071,447,572
S1,1,"PBPP3: beta(1, 1)",sigma_b,1.9629,1.8788,0.4908,0.4474,1.3272,2.878,1.0003,535,1140
S1,1,"PBPP3: beta(1, 1)",a0,0.7435,0.7483,0.1327,0.1388,0.5224,0.9466,1.0095,635,535
S1,1,"PBPP3: beta(1, 1)",sigma,1.0395,1.0377,0.0628,0.0613,0.9395,1.146,1.0027,1535,1351
S1,1,"PBPP3: beta(1, 1)",beta00,100.3467,100.351,0.4258,0.3751,99.6393,101.0252,1.0067,560,794
S1,1,"PBPP3: beta(1, 1)",sigma_b0,1.2975,1.2376,0.3906,0.3305,0.7779,1.9925,1.0072,583,976
S1,1,"PBPP3: beta(1, 1)",beta0,100.5006,100.511,0.6233,0.5723,99.4946,101.535,1.0081,460,617
S1,1,"PBPP3: beta(1, 1)",sigma_b,1.9472,1.8523,0.503,0.4448,1.2996,2.8811,1.003,583,1046
S1,1,"PBPP3: beta(5, 5)",a0,0.6409,0.645,0.1014,0.1015,0.4601,0.8024,1.0009,1538,1225
S1,1,"PBPP3: beta(5, 5)",sigma,1.0483,1.0449,0.0613,0.0608,0.9547,1.1541,1.0007,1557,1394
S1,1,"PBPP3: beta(5, 5)",beta00,100.3688,100.3695,0.4252,0.3892,99.7117,101.0562,0.9994,485,716
S1,1,"PBPP3: beta(5, 5)",sigma_b0,1.2568,1.1839,0.3907,0.3352,0.7671,1.9974,1.0013,537,939
S1,1,"PBPP3: beta(5, 5)",beta0,100.4904,100.469,0.6524,0.6049,99.4604,101.5784,0.9995,417,795
S1,1,"PBPP3: beta(5, 5)",sigma_b,2.0117,1.905,0.5705,0.48,1.3255,3.0129,1.0049,459,890
S1,1,"PBPP3: beta(10, 10)",a0,0.5959,0.5994,0.0824,0.0806,0.4532,0.7252,1.0002,1372,1200
S1,1,"PBPP3: beta(10, 10)",sigma,1.0511,1.0467,0.0658,0.0668,0.9498,1.1638,0.9992,1696,1275
S1,1,"PBPP3: beta(10, 10)",beta00,100.3738,100.3765,0.4048,0.3818,99.7295,101.0301,1.0044,636,839
S1,1,"PBPP3: beta(10, 10)",sigma_b0,1.2145,1.1618,0.3631,0.3217,0.7339,1.8749,1.0038,465,1088
S1,1,"PBPP3: beta(10, 10)",beta0,100.5448,100.538,0.6318,0.6316,99.5052,101.565,1.0018,292,711
S1,1,"PBPP3: beta(10, 10)",sigma_b,2.0194,1.9385,0.5204,0.4488,1.3592,2.9741,1.0078,609,1088
S1,1,"PBPP3: beta(50, 20)",a0,0.7203,0.7214,0.0498,0.0508,0.6332,0.7982,0.9995,1878,1168
S1,1,"PBPP3: beta(50, 20)",sigma,1.0416,1.0371,0.0626,0.0617,0.9462,1.1489,0.9996,1423,1239
S1,1,"PBPP3: beta(50, 20)",beta00,100.3606,100.36,0.4046,0.3706,99.696,101.0383,1.0064,581,668
S1,1,"PBPP3: beta(50, 20)",sigma_b0,1.2487,1.184,0.3649,0.314,0.7781,1.9268,0.9995,398,975
S1,1,"PBPP3: beta(50, 20)",beta0,100.5529,100.5555,0.6061,0.579,99.5748,101.528,1.0042,431,908
S1,1,"PBPP3: beta(50, 20)",sigma_b,1.9856,1.8876,0.5053,0.4437,1.334,2.9286,1.0002,427,995
S1,2,"PBPP3: beta(1, 1)",a0,0.7592,0.7705,0.1411,0.1482,0.5109,0.9645,1.0004,1527,832
S1,2,"PBPP3: beta(1, 1)",sigma,1.105,1.1026,0.0642,0.0632,1.0027,1.2128,1.0012,1654,1533
S1,2,"PBPP3: beta(1, 1)",beta00,100.5311,100.521,0.3497,0.3202,99.9518,101.1111,1.0026,609,1027
S1,2,"PBPP3: beta(1, 1)",sigma_b0,1.0327,0.9753,0.3258,0.2871,0.6227,1.6228,1.0059,488,669
S1,2,"PBPP3: beta(1, 1)",beta0,100.8258,100.833,0.4147,0.3884,100.0996,101.4891,1.0003,537,866
S1,2,"PBPP3: beta(1, 1)",sigma_b,1.283,1.2195,0.3954,0.3165,0.7973,1.9882,1.0049,418,724
S1,2,"PBPP3: beta(5, 5)",a0,0.6389,0.6465,0.1073,0.1082,0.4474,0.8042,1.001,1784,1316
S1,2,"PBPP3: beta(5, 5)",sigma,1.1032,1.1014,0.066,0.0655,0.9972,1.2141,1.0046,1326,1249
S1,2,"PBPP3: beta(5, 5)",beta00,100.5421,100.537,0.3909,0.3706,99.9246,101.192,1.0031,554,783
S1,2,"PBPP3: beta(5, 5)",sigma_b0,1.0326,0.9812,0.3236,0.2703,0.6055,1.6359,1.0011,640,987
S1,2,"PBPP3: beta(5, 5)",beta0,100.8182,100.8185,0.4372,0.4136,100.0788,101.5331,1.0092,243,507
S1,2,"PBPP3: beta(5, 5)",sigma_b,1.3099,1.2577,0.3878,0.3536,0.7992,1.9923,1.0098,436,852
S1,2,"PBPP3: beta(10, 10)",a0,0.5916,0.595,0.0903,0.0971,0.4442,0.7313,1.0002,1493,1623
S1,2,"PBPP3: beta(10, 10)",sigma,1.1051,1.1019,0.0656,0.0677,1.0013,1.2181,0.9999,1398,1426
S1,2,"PBPP3: beta(10, 10)",beta00,100.5297,100.526,0.3842,0.3425,99.9092,101.1572,1.0008,667,886
S1,2,"PBPP3: beta(10, 10)",sigma_b0,1.0416,0.9889,0.3334,0.298,0.5882,1.6576,1.0049,527,913
S1,2,"PBPP3: beta(10, 10)",beta0,100.8663,100.861,0.4389,0.3944,100.1799,101.5801,1.0038,490,814
S1,2,"PBPP3: beta(10, 10)",sigma_b,1.3237,1.266,0.3827,0.348,0.8284,2.0539,1.004,497,955
S1,2,"PBPP3: beta(50, 20)",a0,0.7214,0.7219,0.0515,0.0507,0.6345,0.8035,1.0002,2065,1413
