name,run,scenario,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
S3,1,"PBPP3: beta(1, 1)",a0,0.6538,0.6692,0.17,0.1555,0.3571,0.9074,1.001,753,533
S3,1,"PBPP3: beta(1, 1)",sigma,1.2318,1.2246,0.0796,0.0788,1.1142,1.3802,0.9997,1131,1046
S3,1,"PBPP3: beta(1, 1)",beta00,100.2678,100.2845,0.384,0.3462,99.6387,100.8811,1.0037,622,798
S3,1,"PBPP3: beta(1, 1)",sigma_b0,1.0581,1.0038,0.3869,0.3286,0.5576,1.7736,1.0005,433,606
S3,1,"PBPP3: beta(1, 1)",beta0,100.6243,100.614,0.7088,0.6612,99.4619,101.7922,1.0041,418,775
S3,1,"PBPP3: beta(1, 1)",sigma_b,2.2157,2.1285,0.5518,0.5105,1.4899,3.2305,1.0045,436,940
S3,1,"PBPP3: beta(5, 5)",a0,0.5876,0.5951,0.1191,0.1174,0.3776,0.7755,1.0006,1281,1172
S3,1,"PBPP3: beta(5, 5)",sigma,1.242,1.2374,0.078,0.0763,1.1206,1.3747,1.0009,1378,1453
S3,1,"PBPP3: beta(5, 5)",beta00,100.3073,100.308,0.3621,0.3217,99.7221,100.8652,1.0052,773,965
S3,1,"PBPP3: beta(5, 5)",sigma_b0,1.0227,0.9745,0.3739,0.3248,0.5024,1.7323,1.0008,541,714
S3,1,"PBPP3: beta(5, 5)",beta0,100.6018,100.601,0.6732,0.6257,99.5104,101.732,1.0094,366,672
S3,1,"PBPP3: beta(5, 5)",sigma_b,2.171,2.0722,0.5685,0.4945,1.4337,3.2266,1.0058,521,752
S3,1,"PBPP3: beta(10, 10)",a0,0.5531,0.5569,0.0939,0.0928,0.3933,0.6993,1.0004,1593,1219
S3,1,"PBPP3: beta(10, 10)",sigma,1.2501,1.2469,0.0803,0.0797,1.128,1.388,1.0015,1645,1120
S3,1,"PBPP3: beta(10, 10)",beta00,100.2969,100.297,0.347,0.3328,99.7382,100.871,1.0001,820,992
