name,run,scenario,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
S5,1,"PBPP3: beta(1, 1)",a0,0,0,0,0,0,1e-04,1.0013,1394,976
S5,1,"PBPP3: beta(1, 1)",sigma,0.1779,0.1776,0.0135,0.0137,0.1561,0.2007,1.001,1895,1619
S5,1,"PBPP3: beta(1, 1)",beta00,100.1863,100.119,2.5267,2.1736,96.2577,104.1878,1.0012,2354,957
S5,1,"PBPP3: beta(1, 1)",sigma_b0,1.8625,1.3574,1.7838,1.3098,0.1222,5.0705,1.0021,1304,1001
S5,1,"PBPP3: beta(1, 1)",beta0,99.7075,99.6867,0.5185,0.4882,98.9024,100.6111,1.0033,300,403
S5,1,"PBPP3: beta(1, 1)",sigma_b,1.6282,1.5476,0.4365,0.3887,1.0718,2.4817,1.0047,534,1050
S5,1,"PBPP3: beta(5, 5)",a0,2e-04,2e-04,1e-04,1e-04,1e-04,4e-04,1.0014,3119,1349
S5,1,"PBPP3: beta(5, 5)",sigma,0.1867,0.1856,0.0155,0.0146,0.1632,0.2135,1.0001,2399,1242
S5,1,"PBPP3: beta(5, 5)",beta00,100.2528,100.2625,1.2589,1.1428,98.174,102.3041,1.0018,2846,1389
S5,1,"PBPP3: beta(5, 5)",sigma_b0,1.1028,0.9358,0.8631,0.7976,0.0817,2.7774,1.0002,2031,1007
S5,1,"PBPP3: beta(5, 5)",beta0,99.7363,99.7223,0.5011,0.4829,98.9361,100.566,1.0056,339,559
S5,1,"PBPP3: beta(5, 5)",sigma_b,1.6536,1.5751,0.4512,0.3931,1.0939,2.5071,1.0074,496,755
S5,1,"PBPP3: beta(10, 10)",a0,5e-04,5e-04,2e-04,2e-04,3e-04,9e-04,1.0009,1725,1606
S5,1,"PBPP3: beta(10, 10)",sigma,0.2013,0.2002,0.0174,0.017,0.1749,0.2309,1.0007,1703,1578
S5,1,"PBPP3: beta(10, 10)",beta00,100.3247,100.3235,0.9095,0.8621,98.8827,101.8541,1.0014,1929,1013
S5,1,"PBPP3: beta(10, 10)",sigma_b0,0.8496,0.6923,0.6756,0.5898,0.0766,2.0932,0.9993,1530,948
S5,1,"PBPP3: beta(10, 10)",beta0,99.7782,99.7802,0.5381,0.528,98.9123,100.6671,1.0047,279,527
S5,1,"PBPP3: beta(10, 10)",sigma_b,1.6638,1.5969,0.431,0.3721,1.1158,2.4842,1.0018,485,882
S5,1,"PBPP3: beta(50, 20)",a0,0.6409,0.6411,0.064,0.0636,0.5324,0.7408,1.0003,1833,1396
S5,1,"PBPP3: beta(50, 20)",sigma,2.483,2.483,0.1642,0.1647,2.2228,2.7632,1.0015,1230,1332
S5,1,"PBPP3: beta(50, 20)",beta00,100.3661,100.365,0.4424,0.4077,99.644,101.1091,1.0043,1237,1113
S5,1,"PBPP3: beta(50, 20)",sigma_b0,0.8825,0.8339,0.5093,0.5099,0.1354,1.7818,1.0021,667,863
S5,1,"PBPP3: beta(50, 20)",beta0,99.756,99.7684,0.5305,0.4854,98.8648,100.615,1.0021,672,885
S5,1,"PBPP3: beta(50, 20)",sigma_b,1.41,1.3256,0.5178,0.4321,0.7399,2.3769,1,814,976
