name,run,scenario,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
S2,1,"PBPP3: beta(1, 1)",a0,0.7495,0.7646,0.1528,0.1366,0.5033,0.9646,1.0029,576,412
S2,1,"PBPP3: beta(1, 1)",sigma,1.1199,1.1174,0.0645,0.0633,1.019,1.2266,1.0024,1365,1302
S2,1,"PBPP3: beta(1, 1)",beta00,99.9324,99.9394,0.4639,0.3948,99.2137,100.6471,1.0005,565,642
S2,1,"PBPP3: beta(1, 1)",sigma_b0,1.2501,1.1814,0.4148,0.3283,0.7509,2.0078,1.0036,412,610
S2,1,"PBPP3: beta(1, 1)",beta0,100.4757,100.469,0.3223,0.2936,99.9412,101.014,1.002,519,780
S2,1,"PBPP3: beta(1, 1)",sigma_b,0.87,0.8152,0.293,0.2454,0.5009,1.4346,1.0016,446,850
S2,1,"PBPP3: beta(5, 5)",a0,0.6354,0.6412,0.1083,0.1105,0.4482,0.8007,1.0006,1715,1105
S2,1,"PBPP3: beta(5, 5)",sigma,1.12,1.1152,0.069,0.0669,1.0132,1.2371,0.9998,1596,1394
S2,1,"PBPP3: beta(5, 5)",beta00,99.9135,99.9145,0.4081,0.3721,99.2567,100.5572,1.0016,516,858
S2,1,"PBPP3: beta(5, 5)",sigma_b0,1.1995,1.1405,0.3685,0.3215,0.7306,1.8712,1.0015,632,874
S2,1,"PBPP3: beta(5, 5)",beta0,100.4919,100.5035,0.2957,0.281,99.9751,100.937,1.0004,685,1119
S2,1,"PBPP3: beta(5, 5)",sigma_b,0.8561,0.812,0.2611,0.2334,0.5063,1.3315,1.0004,726,1173
S2,1,"PBPP3: beta(10, 10)",a0,0.5976,0.6014,0.0869,0.084,0.4501,0.7374,1.0014,1935,1308
S2,1,"PBPP3: beta(10, 10)",sigma,1.1166,1.1132,0.0668,0.064,1.0108,1.2294,1.0018,2227,1603
S2,1,"PBPP3: beta(10, 10)",beta00,99.9084,99.9223,0.4152,0.3748,99.2359,100.5651,1.0019,600,1079
S2,1,"PBPP3: beta(10, 10)",sigma_b0,1.2255,1.1629,0.38,0.3216,0.7303,1.9201,1.0055,584,885
S2,1,"PBPP3: beta(10, 10)",beta0,100.4642,100.475,0.2986,0.2884,99.9735,100.9301,1.0015,711,1116
S2,1,"PBPP3: beta(10, 10)",sigma_b,0.869,0.821,0.28,0.2455,0.5052,1.3978,1.0029,616,935
S2,1,"PBPP3: beta(50, 20)",a0,0.7224,0.7243,0.0513,0.0536,0.6358,0.8025,1.0053,1673,1409
S2,1,"PBPP3: beta(50, 20)",sigma,1.1207,1.1183,0.0652,0.0642,1.0192,1.2359,1.0041,1604,1330
S2,1,"PBPP3: beta(50, 20)",beta00,99.9512,99.9553,0.4304,0.399,99.2601,100.651,1.0009,490,778
S2,1,"PBPP3: beta(50, 20)",sigma_b0,1.2396,1.1811,0.3635,0.3279,0.7613,1.9425,1.0024,558,800
S2,1,"PBPP3: beta(50, 20)",beta0,100.4595,100.465,0.3007,0.2765,99.9628,100.9431,1.001,673,889
S2,1,"PBPP3: beta(50, 20)",sigma_b,0.8657,0.8214,0.2707,0.2366,0.5172,1.3805,1.0021,612,921
S2,2,"PBPP3: beta(1, 1)",a0,0.7562,0.7667,0.1337,0.1431,0.5236,0.9547,0.9996,1269,557
S2,2,"PBPP3: beta(1, 1)",sigma,1.1331,1.1288,0.0647,0.0625,1.0329,1.2432,0.9998,1348,1389
S2,2,"PBPP3: beta(1, 1)",beta00,100.3037,100.2935,0.4841,0.4611,99.5353,101.1286,1.002,440,643
S2,2,"PBPP3: beta(1, 1)",sigma_b0,1.4234,1.3436,0.4155,0.3592,0.8979,2.2417,1.0023,610,903
S2,2,"PBPP3: beta(1, 1)",beta0,100.5543,100.553,0.3206,0.2958,100.0228,101.066,1.0014,571,986
S2,2,"PBPP3: beta(1, 1)",sigma_b,0.9822,0.9329,0.3053,0.2577,0.5899,1.5295,1.0048,585,992
S2,2,"PBPP3: beta(5, 5)",a0,0.645,0.6489,0.1038,0.1059,0.4667,0.8073,1.0041,1411,1198
S2,2,"PBPP3: beta(5, 5)",sigma,1.1254,1.1222,0.0682,0.0699,1.0197,1.241,1.0019,1932,1463
S2,2,"PBPP3: beta(5, 5)",beta00,100.2979,100.293,0.4566,0.4307,99.5407,101.0553,1.0114,453,732
S2,2,"PBPP3: beta(5, 5)",sigma_b0,1.385,1.3312,0.3728,0.35,0.8818,2.0579,1.0045,536,910
S2,2,"PBPP3: beta(5, 5)",beta0,100.5636,100.5705,0.3423,0.3106,100.001,101.099,1.0014,476,734
S2,2,"PBPP3: beta(5, 5)",sigma_b,0.9826,0.9241,0.3161,0.269,0.5925,1.5427,1.0027,560,936
S2,2,"PBPP3: beta(10, 10)",a0,0.5999,0.6016,0.0845,0.0861,0.4601,0.7351,0.9997,1359,1400
S2,2,"PBPP3: beta(10, 10)",sigma,1.1242,1.1199,0.0657,0.0648,1.0238,1.2356,1.0002,1464,1480
S2,2,"PBPP3: beta(10, 10)",beta00,100.325,100.3325,0.4559,0.4374,99.5821,101.0702,1.0077,461,860
S2,2,"PBPP3: beta(10, 10)",sigma_b0,1.3687,1.3042,0.3667,0.3302,0.8817,2.0385,1.0031,737,1015
S2,2,"PBPP3: beta(10, 10)",beta0,100.578,100.578,0.3216,0.2995,100.0378,101.09,1.005,654,958
S2,2,"PBPP3: beta(10, 10)",sigma_b,0.9758,0.9149,0.3097,0.2662,0.592,1.5826,1.0005,546,907
S2,2,"PBPP3: beta(50, 20)",a0,0.7234,0.7242,0.0493,0.0485,0.6387,0.8021,1.0004,1880,1451
